freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.486e+02,2.034e+01,1.950e+01,3.885e+02
1.6,2.809e+02,3.920e+01,3.761e+01,3.577e+02
3.2,1.259e+02,3.571e+01,3.546e+01,1.970e+02
4.7,4.759e+02,3.677e+01,3.694e+01,5.496e+02
6.3,1.319e+03,3.725e+01,3.801e+01,1.394e+03
7.9,2.130e+03,3.705e+01,3.679e+01,2.204e+03
9.5,3.130e+03,4.512e+01,3.612e+01,3.211e+03
11.0,4.258e+03,6.374e+01,3.746e+01,4.359e+03
12.6,5.313e+03,5.432e+01,3.562e+01,5.403e+03
14.2,6.874e+03,4.408e+01,3.548e+01,6.953e+03
15.8,8.643e+03,4.836e+01,3.703e+01,8.728e+03
17.4,1.055e+04,6.666e+01,3.946e+01,1.066e+04
18.9,1.231e+04,1.316e+02,4.045e+01,1.248e+04
20.5,1.470e+04,1.610e+02,4.192e+01,1.491e+04
22.1,1.786e+04,1.620e+02,4.316e+01,1.806e+04
23.7,2.148e+04,1.730e+02,4.579e+01,2.170e+04
25.2,2.533e+04,1.888e+02,4.430e+01,2.557e+04
26.8,3.021e+04,2.365e+02,4.719e+01,3.049e+04
28.4,3.491e+04,3.069e+02,5.233e+01,3.527e+04
30.0,4.176e+04,4.205e+02,5.817e+01,4.224e+04
31.6,5.166e+04,5.621e+02,5.746e+01,5.228e+04
33.1,6.046e+04,6.876e+02,6.110e+01,6.121e+04
34.7,7.112e+04,9.084e+02,7.873e+01,7.211e+04
36.3,9.009e+04,1.340e+03,1.115e+02,9.154e+04
37.9,1.135e+05,2.063e+03,1.532e+02,1.158e+05
39.5,1.297e+05,3.089e+03,2.176e+02,1.330e+05
41.0,1.448e+05,3.790e+03,3.041e+02,1.489e+05
42.6,1.839e+05,4.511e+03,7.821e+02,1.892e+05
44.2,2.661e+05,5.673e+03,2.645e+03,2.744e+05
45.8,3.911e+05,9.343e+03,7.353e+03,4.078e+05
47.3,5.264e+05,1.682e+04,1.455e+04,5.578e+05
48.9,6.359e+05,2.240e+04,1.858e+04,6.769e+05
50.5,7.548e+05,2.312e+04,1.697e+04,7.949e+05
52.1,7.672e+05,2.636e+04,1.672e+04,8.103e+05
53.7,7.019e+05,3.007e+04,1.979e+04,7.518e+05
55.2,6.775e+05,2.444e+04,1.801e+04,7.200e+05
56.8,5.836e+05,1.860e+04,1.441e+04,6.166e+05
58.4,4.771e+05,1.167e+04,1.012e+04,4.988e+05
60.0,3.824e+05,6.484e+03,6.059e+03,3.949e+05
61.5,3.080e+05,5.615e+03,4.828e+03,3.185e+05
63.1,2.639e+05,6.192e+03,4.612e+03,2.747e+05
64.7,2.269e+05,7.247e+03,4.539e+03,2.387e+05
66.3,1.876e+05,7.674e+03,4.326e+03,1.996e+05
67.9,1.493e+05,6.962e+03,3.785e+03,1.600e+05
69.4,1.153e+05,5.692e+03,3.250e+03,1.242e+05
71.0,8.877e+04,5.089e+03,3.117e+03,9.698e+04
72.6,6.862e+04,5.444e+03,3.282e+03,7.734e+04
74.2,5.660e+04,6.483e+03,3.869e+03,6.695e+04
75.7,4.836e+04,7.192e+03,4.235e+03,5.979e+04
77.3,3.969e+04,6.740e+03,4.006e+03,5.044e+04
78.9,3.216e+04,6.977e+03,4.057e+03,4.319e+04
80.5,2.568e+04,5.765e+03,3.542e+03,3.499e+04
82.1,1.960e+04,4.052e+03,3.231e+03,2.688e+04
83.6,1.547e+04,2.789e+03,3.725e+03,2.198e+04
85.2,1.466e+04,2.356e+03,4.753e+03,2.177e+04
86.8,1.456e+04,2.979e+03,5.205e+03,2.274e+04
88.4,1.467e+04,3.888e+03,4.882e+03,2.344e+04
89.9,1.850e+04,6.243e+03,5.075e+03,2.982e+04
91.5,2.245e+04,1.062e+04,5.665e+03,3.874e+04
93.1,2.124e+04,1.447e+04,5.329e+03,4.104e+04
94.7,1.871e+04,1.828e+04,4.797e+03,4.179e+04
96.3,1.566e+04,1.965e+04,4.957e+03,4.027e+04
97.8,1.190e+04,1.811e+04,5.281e+03,3.529e+04
99.4,8.870e+03,1.569e+04,5.821e+03,3.038e+04
101.0,6.739e+03,1.339e+04,6.610e+03,2.674e+04
102.6,5.505e+03,1.204e+04,7.154e+03,2.469e+04
104.2,4.878e+03,1.149e+04,6.984e+03,2.336e+04
105.7,5.051e+03,1.172e+04,6.401e+03,2.317e+04
107.3,5.248e+03,1.162e+04,5.603e+03,2.247e+04
108.9,4.573e+03,1.017e+04,5.954e+03,2.070e+04
110.5,3.836e+03,8.902e+03,7.178e+03,1.992e+04
112.0,3.747e+03,1.053e+04,6.715e+03,2.099e+04
113.6,3.392e+03,9.498e+03,4.307e+03,1.720e+04
115.2,3.769e+03,8.874e+03,4.294e+03,1.694e+04
116.8,3.876e+03,8.353e+03,3.754e+03,1.598e+04
118.4,3.655e+03,8.291e+03,2.971e+03,1.492e+04
119.9,3.887e+03,8.584e+03,2.660e+03,1.513e+04
121.5,4.094e+03,8.506e+03,2.323e+03,1.492e+04
123.1,4.870e+03,9.514e+03,2.360e+03,1.674e+04
124.7,6.065e+03,1.122e+04,2.675e+03,1.996e+04
126.2,6.967e+03,1.235e+04,2.684e+03,2.200e+04
127.8,8.000e+03,1.335e+04,2.499e+03,2.385e+04
129.4,9.012e+03,1.558e+04,2.248e+03,2.684e+04
131.0,9.098e+03,1.773e+04,2.081e+03,2.891e+04
132.6,6.447e+03,1.474e+04,2.016e+03,2.320e+04
134.1,2.788e+03,8.476e+03,1.967e+03,1.323e+04
135.7,2.146e+03,8.320e+03,2.103e+03,1.257e+04
137.3,2.104e+03,9.195e+03,2.231e+03,1.353e+04
138.9,2.117e+03,1.007e+04,2.336e+03,1.452e+04
140.4,2.189e+03,1.092e+04,2.448e+03,1.556e+04
142.0,2.206e+03,1.190e+04,2.793e+03,1.690e+04
143.6,2.444e+03,1.227e+04,3.106e+03,1.782e+04
145.2,2.805e+03,1.231e+04,3.311e+03,1.842e+04
146.8,3.360e+03,1.248e+04,3.624e+03,1.946e+04
148.3,4.649e+03,1.251e+04,4.487e+03,2.165e+04
149.9,6.830e+03,1.202e+04,5.603e+03,2.445e+04
151.5,8.962e+03,1.138e+04,6.273e+03,2.661e+04
153.1,1.146e+04,1.144e+04,7.325e+03,3.023e+04
154.6,1.442e+04,1.193e+04,8.708e+03,3.505e+04
156.2,2.087e+04,1.475e+04,1.210e+04,4.771e+04
157.8,3.027e+04,1.960e+04,1.719e+04,6.706e+04
159.4,4.710e+04,2.926e+04,2.649e+04,1.029e+05
161.0,6.297e+04,3.874e+04,3.493e+04,1.366e+05
162.5,6.602e+04,3.880e+04,3.539e+04,1.402e+05
164.1,6.642e+04,3.778e+04,3.445e+04,1.386e+05
165.7,6.252e+04,3.487e+04,3.139e+04,1.288e+05
167.3,5.635e+04,3.057e+04,2.771e+04,1.146e+05
168.9,5.352e+04,2.845e+04,2.599e+04,1.080e+05
170.4,5.294e+04,2.807e+04,2.547e+04,1.065e+05
172.0,5.034e+04,2.684e+04,2.405e+04,1.012e+05
173.6,4.786e+04,2.518e+04,2.284e+04,9.588e+04
175.2,4.853e+04,2.544e+04,2.257e+04,9.654e+04
176.7,4.996e+04,2.635e+04,2.226e+04,9.857e+04
178.3,4.835e+04,2.556e+04,2.078e+04,9.469e+04
179.9,4.647e+04,2.440e+04,1.954e+04,9.041e+04
181.5,4.643e+04,2.379e+04,1.931e+04,8.953e+04
183.1,4.482e+04,2.224e+04,1.858e+04,8.564e+04
