freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.591e+02,2.149e+01,1.366e+01,3.942e+02
1.6,2.884e+02,4.025e+01,3.414e+01,3.628e+02
3.2,1.259e+02,3.592e+01,3.470e+01,1.965e+02
4.7,4.551e+02,3.406e+01,3.478e+01,5.239e+02
6.3,1.347e+03,3.651e+01,3.415e+01,1.418e+03
7.9,2.239e+03,3.848e+01,3.582e+01,2.313e+03
9.5,3.226e+03,4.117e+01,3.646e+01,3.304e+03
11.0,4.322e+03,5.665e+01,3.592e+01,4.414e+03
12.6,5.289e+03,4.958e+01,3.728e+01,5.376e+03
14.2,6.815e+03,4.077e+01,3.619e+01,6.892e+03
15.8,8.469e+03,4.357e+01,3.603e+01,8.549e+03
17.4,1.013e+04,6.293e+01,3.914e+01,1.023e+04
18.9,1.179e+04,1.119e+02,4.152e+01,1.195e+04
20.5,1.409e+04,1.327e+02,4.193e+01,1.427e+04
22.1,1.684e+04,1.378e+02,4.049e+01,1.702e+04
23.7,2.017e+04,1.579e+02,4.162e+01,2.037e+04
25.3,2.378e+04,1.864e+02,4.101e+01,2.401e+04
26.8,2.793e+04,2.375e+02,4.477e+01,2.821e+04
28.4,3.219e+04,2.961e+02,4.755e+01,3.254e+04
30.0,3.853e+04,3.712e+02,4.826e+01,3.895e+04
31.6,4.725e+04,5.202e+02,4.964e+01,4.782e+04
33.1,5.583e+04,7.195e+02,5.325e+01,5.660e+04
34.7,6.627e+04,9.788e+02,6.464e+01,6.732e+04
36.3,8.365e+04,1.422e+03,7.596e+01,8.515e+04
37.9,1.045e+05,2.151e+03,1.028e+02,1.067e+05
39.5,1.202e+05,3.113e+03,1.425e+02,1.234e+05
41.0,1.348e+05,4.392e+03,1.206e+02,1.393e+05
42.6,1.713e+05,7.041e+03,1.745e+02,1.785e+05
44.2,2.381e+05,9.568e+03,1.174e+03,2.489e+05
45.8,3.352e+05,1.098e+04,4.611e+03,3.508e+05
47.4,4.665e+05,1.860e+04,1.041e+04,4.955e+05
48.9,5.807e+05,2.734e+04,1.482e+04,6.228e+05
50.5,7.073e+05,3.706e+04,1.996e+04,7.643e+05
52.1,7.604e+05,4.725e+04,2.674e+04,8.344e+05
53.7,7.774e+05,4.682e+04,2.879e+04,8.530e+05
55.2,8.306e+05,3.291e+04,2.055e+04,8.841e+05
56.8,8.281e+05,2.259e+04,1.210e+04,8.628e+05
58.4,7.420e+05,1.784e+04,6.584e+03,7.664e+05
60.0,5.636e+05,1.576e+04,4.753e+03,5.841e+05
61.6,4.065e+05,1.567e+04,5.274e+03,4.274e+05
63.1,2.962e+05,1.530e+04,5.836e+03,3.174e+05
64.7,2.163e+05,1.489e+04,6.570e+03,2.377e+05
66.3,1.561e+05,1.433e+04,7.398e+03,1.779e+05
67.9,1.190e+05,1.335e+04,7.545e+03,1.399e+05
69.5,9.064e+04,1.202e+04,7.137e+03,1.098e+05
71.0,6.804e+04,1.048e+04,6.479e+03,8.500e+04
72.6,5.261e+04,9.383e+03,5.854e+03,6.785e+04
74.2,4.481e+04,8.631e+03,5.640e+03,5.908e+04
75.8,3.959e+04,8.608e+03,6.119e+03,5.432e+04
77.3,3.382e+04,8.869e+03,6.755e+03,4.945e+04
78.9,2.597e+04,7.545e+03,6.122e+03,3.964e+04
80.5,1.934e+04,6.093e+03,4.918e+03,3.035e+04
82.1,1.455e+04,4.885e+03,3.888e+03,2.332e+04
83.7,1.211e+04,4.164e+03,3.896e+03,2.017e+04
85.2,1.010e+04,3.957e+03,4.375e+03,1.843e+04
86.8,7.512e+03,3.204e+03,3.859e+03,1.457e+04
88.4,6.419e+03,2.317e+03,2.858e+03,1.159e+04
90.0,6.619e+03,1.628e+03,1.999e+03,1.025e+04
91.6,8.174e+03,1.419e+03,1.455e+03,1.105e+04
93.1,9.401e+03,1.828e+03,1.239e+03,1.247e+04
94.7,9.180e+03,2.324e+03,1.293e+03,1.280e+04
96.3,7.100e+03,2.221e+03,1.126e+03,1.045e+04
97.9,4.608e+03,1.789e+03,8.398e+02,7.237e+03
99.4,2.685e+03,1.622e+03,5.748e+02,4.881e+03
101.0,1.550e+03,1.952e+03,5.228e+02,4.024e+03
102.6,1.137e+03,2.770e+03,6.717e+02,4.579e+03
104.2,1.044e+03,2.917e+03,8.263e+02,4.788e+03
105.8,9.424e+02,2.698e+03,9.347e+02,4.575e+03
107.3,8.276e+02,2.371e+03,1.054e+03,4.253e+03
108.9,7.340e+02,1.982e+03,1.169e+03,3.886e+03
110.5,7.070e+02,2.077e+03,1.430e+03,4.214e+03
112.1,8.283e+02,1.928e+03,1.453e+03,4.209e+03
113.6,1.148e+03,2.049e+03,1.455e+03,4.651e+03
115.2,1.620e+03,2.510e+03,1.570e+03,5.699e+03
116.8,1.982e+03,3.609e+03,1.615e+03,7.206e+03
118.4,2.290e+03,4.769e+03,1.606e+03,8.664e+03
120.0,2.797e+03,5.009e+03,1.586e+03,9.392e+03
121.5,3.324e+03,4.790e+03,1.563e+03,9.677e+03
123.1,3.894e+03,5.585e+03,1.737e+03,1.122e+04
124.7,4.366e+03,6.970e+03,2.029e+03,1.336e+04
126.3,4.212e+03,7.906e+03,2.040e+03,1.416e+04
127.9,3.717e+03,8.041e+03,1.951e+03,1.371e+04
129.4,3.570e+03,8.312e+03,1.902e+03,1.378e+04
131.0,3.632e+03,9.130e+03,1.857e+03,1.462e+04
132.6,3.145e+03,8.846e+03,1.941e+03,1.393e+04
134.2,2.255e+03,7.515e+03,2.040e+03,1.181e+04
135.7,2.113e+03,8.621e+03,2.346e+03,1.308e+04
137.3,2.158e+03,1.011e+04,2.569e+03,1.484e+04
138.9,2.381e+03,1.111e+04,2.609e+03,1.610e+04
140.5,2.463e+03,1.167e+04,2.700e+03,1.684e+04
142.1,2.565e+03,1.155e+04,2.775e+03,1.689e+04
143.6,3.054e+03,1.188e+04,3.079e+03,1.801e+04
145.2,3.616e+03,1.231e+04,3.424e+03,1.935e+04
146.8,4.231e+03,1.239e+04,3.684e+03,2.031e+04
148.4,5.320e+03,1.265e+04,4.235e+03,2.221e+04
150.0,6.695e+03,1.288e+04,4.966e+03,2.454e+04
151.5,8.340e+03,1.273e+04,5.702e+03,2.677e+04
153.1,1.053e+04,1.243e+04,6.557e+03,2.952e+04
154.7,1.339e+04,1.238e+04,7.647e+03,3.342e+04
156.3,1.766e+04,1.441e+04,9.730e+03,4.180e+04
157.8,2.670e+04,2.044e+04,1.507e+04,6.221e+04
159.4,4.613e+04,3.252e+04,2.695e+04,1.056e+05
161.0,6.368e+04,3.878e+04,3.721e+04,1.397e+05
162.6,6.972e+04,3.702e+04,4.021e+04,1.469e+05
164.2,7.313e+04,3.662e+04,4.205e+04,1.518e+05
165.7,6.866e+04,3.235e+04,3.971e+04,1.407e+05
167.3,6.145e+04,2.679e+04,3.489e+04,1.231e+05
168.9,5.877e+04,2.488e+04,3.192e+04,1.156e+05
170.5,5.499e+04,2.453e+04,2.853e+04,1.080e+05
172.1,4.860e+04,2.328e+04,2.399e+04,9.587e+04
173.6,4.387e+04,2.279e+04,2.055e+04,8.721e+04
175.2,4.314e+04,2.379e+04,1.935e+04,8.628e+04
176.8,4.378e+04,2.483e+04,1.918e+04,8.779e+04
178.4,4.353e+04,2.502e+04,1.859e+04,8.714e+04
179.9,4.247e+04,2.450e+04,1.768e+04,8.465e+04
181.5,4.141e+04,2.355e+04,1.708e+04,8.204e+04
183.1,4.005e+04,2.218e+04,1.646e+04,7.869e+04
184.7,3.721e+04,1.989e+04,1.520e+04,7.230e+04
186.3,3.458e+04,1.755e+04,1.391e+04,6.604e+04
187.8,3.287e+04,1.577e+04,1.304e+04,6.168e+04
189.4,3.093e+04,1.399e+04,1.215e+04,5.707e+04
191.0,2.962e+04,1.262e+04,1.164e+04,5.387e+04
192.6,2.913e+04,1.161e+04,1.159e+04,5.233e+04
194.1,2.837e+04,1.021e+04,1.127e+04,4.985e+04
195.7,2.863e+04,9.348e+03,1.137e+04,4.936e+04
197.3,2.819e+04,8.534e+03,1.104e+04,4.776e+04
198.9,2.776e+04,8.080e+03,1.068e+04,4.652e+04
