freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.065e+01,2.450e+02,8.765e+01,3.533e+02
1.6,1.113e+02,1.576e+02,7.482e+01,3.437e+02
3.2,1.327e+02,4.720e+01,3.331e+01,2.132e+02
4.7,1.224e+02,4.461e+02,3.579e+01,6.043e+02
6.3,1.176e+02,1.415e+03,3.994e+01,1.573e+03
7.9,1.148e+02,2.314e+03,3.813e+01,2.467e+03
9.5,1.263e+02,3.522e+03,3.589e+01,3.684e+03
11.0,1.620e+02,4.758e+03,3.386e+01,4.954e+03
12.6,2.024e+02,5.699e+03,3.381e+01,5.936e+03
14.2,2.070e+02,7.531e+03,3.796e+01,7.776e+03
15.8,2.260e+02,9.738e+03,4.185e+01,1.001e+04
17.4,2.651e+02,1.222e+04,5.286e+01,1.253e+04
18.9,2.214e+02,1.380e+04,5.713e+01,1.408e+04
20.5,1.484e+02,1.680e+04,4.559e+01,1.700e+04
22.1,1.196e+02,2.122e+04,4.499e+01,2.139e+04
23.7,1.260e+02,2.669e+04,5.431e+01,2.687e+04
25.3,1.316e+02,3.312e+04,8.820e+01,3.334e+04
26.8,1.528e+02,4.145e+04,1.555e+02,4.176e+04
28.4,1.348e+02,5.072e+04,3.520e+02,5.121e+04
30.0,1.270e+02,6.635e+04,9.961e+02,6.747e+04
31.6,1.376e+02,9.207e+04,2.500e+03,9.471e+04
33.1,1.473e+02,1.252e+05,6.410e+03,1.318e+05
34.7,4.293e+02,1.741e+05,1.864e+04,1.932e+05
36.3,2.372e+03,2.313e+05,4.839e+04,2.820e+05
37.9,3.618e+03,2.276e+05,9.229e+04,3.235e+05
39.5,2.437e+03,1.443e+05,1.185e+05,2.653e+05
41.0,1.242e+03,6.541e+04,1.115e+05,1.782e+05
42.6,7.173e+02,3.309e+04,9.696e+04,1.308e+05
44.2,5.697e+02,2.704e+04,8.542e+04,1.130e+05
45.8,5.286e+02,3.285e+04,7.830e+04,1.117e+05
47.4,5.282e+02,6.069e+04,8.806e+04,1.493e+05
48.9,8.442e+02,1.594e+05,1.403e+05,3.006e+05
50.5,1.533e+03,3.327e+05,2.174e+05,5.516e+05
52.1,1.607e+03,4.332e+05,2.311e+05,6.659e+05
53.7,1.463e+03,4.186e+05,1.879e+05,6.079e+05
55.2,1.396e+03,3.670e+05,1.412e+05,5.095e+05
56.8,9.276e+02,3.155e+05,1.117e+05,4.281e+05
58.4,8.540e+02,2.862e+05,1.043e+05,3.913e+05
60.0,1.442e+03,2.577e+05,9.999e+04,3.592e+05
61.6,2.020e+03,2.359e+05,9.238e+04,3.303e+05
63.1,1.934e+03,2.046e+05,7.545e+04,2.820e+05
64.7,1.498e+03,1.801e+05,6.224e+04,2.438e+05
66.3,1.000e+03,1.635e+05,5.420e+04,2.187e+05
67.9,8.246e+02,1.415e+05,4.596e+04,1.883e+05
69.4,6.169e+02,1.182e+05,3.818e+04,1.570e+05
71.0,8.468e+02,9.660e+04,3.126e+04,1.287e+05
72.6,1.197e+03,7.973e+04,2.623e+04,1.072e+05
74.2,8.752e+02,7.051e+04,2.366e+04,9.504e+04
75.8,6.119e+02,6.499e+04,2.215e+04,8.775e+04
77.3,5.651e+02,5.897e+04,2.067e+04,8.020e+04
78.9,6.168e+02,5.207e+04,2.027e+04,7.295e+04
80.5,7.575e+02,4.439e+04,1.982e+04,6.497e+04
82.1,8.876e+02,3.901e+04,2.039e+04,6.029e+04
83.7,1.291e+03,3.240e+04,2.008e+04,5.377e+04
85.2,1.639e+03,2.479e+04,1.823e+04,4.466e+04
86.8,1.451e+03,1.874e+04,1.626e+04,3.645e+04
88.4,1.413e+03,1.351e+04,1.401e+04,2.894e+04
90.0,1.492e+03,9.285e+03,1.215e+04,2.293e+04
91.5,1.682e+03,6.646e+03,1.181e+04,2.014e+04
93.1,1.869e+03,6.514e+03,1.279e+04,2.117e+04
94.7,2.096e+03,1.125e+04,1.387e+04,2.722e+04
96.3,2.150e+03,2.203e+04,1.364e+04,3.782e+04
97.9,2.068e+03,3.444e+04,1.149e+04,4.800e+04
99.4,1.910e+03,4.378e+04,8.753e+03,5.444e+04
101.0,1.725e+03,4.968e+04,6.357e+03,5.776e+04
102.6,1.494e+03,5.340e+04,4.793e+03,5.969e+04
104.2,1.196e+03,5.418e+04,3.811e+03,5.919e+04
105.7,8.571e+02,5.116e+04,2.939e+03,5.496e+04
107.3,4.883e+02,4.328e+04,2.210e+03,4.598e+04
108.9,5.293e+02,4.208e+04,1.622e+03,4.424e+04
110.5,7.915e+02,4.272e+04,1.206e+03,4.472e+04
112.1,8.515e+02,3.724e+04,1.128e+03,3.922e+04
113.6,8.061e+02,3.683e+04,1.131e+03,3.877e+04
115.2,7.886e+02,3.201e+04,1.208e+03,3.401e+04
116.8,7.822e+02,2.641e+04,1.236e+03,2.842e+04
118.4,5.812e+02,2.189e+04,1.179e+03,2.365e+04
120.0,3.910e+02,1.706e+04,1.264e+03,1.871e+04
121.5,4.492e+02,1.125e+04,1.760e+03,1.346e+04
123.1,9.090e+02,9.449e+03,2.679e+03,1.304e+04
124.7,2.097e+03,1.129e+04,3.686e+03,1.708e+04
