freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.748e+01,2.357e+02,6.366e+01,3.169e+02
1.6,7.477e+01,1.512e+02,5.428e+01,2.803e+02
3.1,7.507e+01,3.902e+01,2.614e+01,1.402e+02
4.7,7.606e+01,4.002e+02,2.611e+01,5.024e+02
6.2,7.919e+01,1.374e+03,2.596e+01,1.479e+03
7.8,7.858e+01,2.296e+03,2.738e+01,2.402e+03
9.4,9.096e+01,3.367e+03,2.689e+01,3.485e+03
10.9,1.249e+02,4.322e+03,2.641e+01,4.473e+03
12.5,1.441e+02,5.875e+03,2.652e+01,6.045e+03
14.0,1.609e+02,7.478e+03,2.973e+01,7.669e+03
15.6,1.882e+02,9.793e+03,3.459e+01,1.002e+04
17.2,2.531e+02,1.243e+04,5.108e+01,1.273e+04
18.7,1.897e+02,1.416e+04,5.115e+01,1.440e+04
20.3,1.154e+02,1.759e+04,4.073e+01,1.775e+04
21.8,1.041e+02,2.218e+04,4.030e+01,2.233e+04
23.4,9.366e+01,2.808e+04,7.186e+01,2.825e+04
25.0,1.020e+02,3.444e+04,1.343e+02,3.467e+04
26.5,1.168e+02,4.278e+04,2.340e+02,4.313e+04
28.1,9.631e+01,5.416e+04,6.335e+02,5.489e+04
29.6,9.518e+01,7.233e+04,1.710e+03,7.414e+04
31.2,1.014e+02,1.036e+05,4.614e+03,1.083e+05
32.8,1.081e+02,1.355e+05,1.060e+04,1.462e+05
34.3,1.923e+02,1.557e+05,2.153e+04,1.774e+05
35.9,6.342e+02,1.686e+05,4.763e+04,2.168e+05
37.4,1.499e+03,1.435e+05,8.467e+04,2.297e+05
39.0,1.966e+03,8.956e+04,1.022e+05,1.938e+05
40.6,1.865e+03,5.407e+04,9.326e+04,1.492e+05
42.1,1.879e+03,3.787e+04,7.130e+04,1.110e+05
43.7,2.408e+03,3.946e+04,6.117e+04,1.030e+05
45.3,3.093e+03,5.646e+04,5.990e+04,1.195e+05
46.8,3.391e+03,7.901e+04,6.276e+04,1.452e+05
48.4,3.712e+03,1.212e+05,7.709e+04,2.020e+05
49.9,6.249e+03,2.280e+05,1.099e+05,3.442e+05
51.5,1.078e+04,3.536e+05,1.338e+05,4.982e+05
53.1,1.049e+04,3.981e+05,1.286e+05,5.372e+05
54.6,7.381e+03,4.036e+05,1.157e+05,5.267e+05
56.2,4.278e+03,3.808e+05,1.015e+05,4.866e+05
57.7,3.270e+03,3.511e+05,8.880e+04,4.431e+05
59.3,3.205e+03,3.101e+05,7.546e+04,3.888e+05
60.9,2.653e+03,2.656e+05,6.539e+04,3.336e+05
62.4,1.759e+03,2.246e+05,5.851e+04,2.848e+05
64.0,1.155e+03,2.111e+05,5.874e+04,2.710e+05
65.5,1.302e+03,1.979e+05,5.804e+04,2.573e+05
67.1,1.471e+03,1.742e+05,5.121e+04,2.269e+05
68.7,1.303e+03,1.543e+05,4.412e+04,1.997e+05
70.2,1.185e+03,1.338e+05,3.722e+04,1.722e+05
