freq,psd_x,psd_y,psd_z,psd_xyz
159.0,2.932e+04,1.843e+04,1.055e+04,5.829e+04
160.6,5.325e+04,3.071e+04,1.879e+04,1.028e+05
162.2,5.966e+04,3.237e+04,2.088e+04,1.129e+05
163.7,5.734e+04,2.920e+04,2.044e+04,1.070e+05
165.3,5.391e+04,2.591e+04,1.912e+04,9.894e+04
166.8,4.977e+04,2.312e+04,1.718e+04,9.007e+04
168.4,4.589e+04,2.086e+04,1.548e+04,8.223e+04
170.0,4.562e+04,2.017e+04,1.538e+04,8.118e+04
171.5,4.597e+04,1.982e+04,1.575e+04,8.153e+04
173.1,4.460e+04,1.875e+04,1.537e+04,7.872e+04
174.6,4.404e+04,1.824e+04,1.510e+04,7.738e+04
176.2,4.302e+04,1.769e+04,1.460e+04,7.531e+04
177.8,3.946e+04,1.600e+04,1.329e+04,6.876e+04
179.3,3.705e+04,1.490e+04,1.239e+04,6.434e+04
180.9,3.526e+04,1.363e+04,1.178e+04,6.067e+04
182.4,3.275e+04,1.229e+04,1.100e+04,5.605e+04
184.0,3.112e+04,1.137e+04,1.056e+04,5.306e+04
185.6,2.909e+04,1.027e+04,9.988e+03,4.935e+04
187.1,2.681e+04,9.024e+03,9.248e+03,4.509e+04
188.7,2.589e+04,8.204e+03,8.926e+03,4.302e+04
190.2,2.480e+04,7.553e+03,8.765e+03,4.112e+04
191.8,2.398e+04,7.084e+03,8.671e+03,3.973e+04
193.3,2.427e+04,6.924e+03,8.854e+03,4.005e+04
194.9,2.532e+04,7.031e+03,9.326e+03,4.168e+04
196.5,2.569e+04,6.784e+03,9.544e+03,4.202e+04
198.0,2.797e+04,7.279e+03,1.048e+04,4.573e+04
199.6,2.928e+04,7.491e+03,1.098e+04,4.775e+04
